opcode	handler	handler_symbol	confidence	schema	static_paths	name	variable_operands	uses	resources	first_site
0x24	0x47f8	bin_handler_jump_if_variables_not_equal	high	HHH	HHH	jump_if_variables_not_equal	0,1	1	ROOM3.BIN	ROOM3.BIN@0x0cc8
0x25	0x4827	bin_handler_jump_if_variable_not_equal	high	HHH	HHH	jump_if_variable_not_equal	0	28	AHAL.BIN,BHAL.BIN,COMBAT5.BIN,CP1.BIN,CP2.BIN,EHAL.BIN,INTRO.BIN,KABLAM.BIN,LOGO.BIN,NAGE.BIN,OUTE.BIN,OUTGL.BIN,ROOM1.BIN,ROOM2.BIN,TITLE.BIN	LOGO.BIN@0x01ea
0x26	0x4845	bin_handler_jump_if_variable_greater_than_variable	high	HHH	HHH	jump_if_variable_greater_than_variable	0,1	2	ROOM4.BIN	ROOM4.BIN@0x022c
0x27	0x4875	bin_handler_jump_if_variable_greater_than	high	HHH	HHH	jump_if_variable_greater_than	0	129	AHAL.BIN,BHAL.BIN,CHAL.BIN,COMBAT1.BIN,COMBAT2.BIN,COMBAT3.BIN,COMBAT4.BIN,COMBAT5.BIN,COMBAT7.BIN,DHAL.BIN,EHAL.BIN,FHAL.BIN,GHAL.BIN,GHALB.BIN,GHALS.BIN,KABLAM.BIN,LOGO.BIN,MENU.BIN,ROOM4.BIN	LOGO.BIN@0x01bd
0x28	0x4893	bin_handler_jump_if_variable_less_than_variable	high	HHH	HHH	jump_if_variable_less_than_variable	0,1	1	OUTE.BIN	OUTE.BIN@0x1b74
0x29	0x48c3	bin_handler_jump_if_variable_less_than	high	HHH	HHH	jump_if_variable_less_than	0	35	AHAL.BIN,BHAL.BIN,CHAL.BIN,COMBAT1.BIN,CP2.BIN,DHAL.BIN,EHAL.BIN,FEAR.BIN,FHAL.BIN,GHAL.BIN,GHALS.BIN,KABLAM.BIN,MENU.BIN,NAGE.BIN,ROOM4.BIN	KABLAM.BIN@0x0221
0x2a	0x48e1	bin_handler_add_variable	verified	HH	HH	add_variable	0,1	12	CP2.BIN,KABLAM.BIN,OUTE.BIN	KABLAM.BIN@0x0214
0x2b	0x4900	bin_handler_add_to_variable	verified	HH	HH	add_to_variable	1	38	AHAL.BIN,BHAL.BIN,CHAL.BIN,CP2.BIN,DHAL.BIN,EHAL.BIN,FHAL.BIN,GHAL.BIN,GHALB.BIN,GHALS.BIN,KABLAM.BIN,OUTGL.BIN,OUTGR.BIN,POWER.BIN,ROOM4.BIN	KABLAM.BIN@0x020f
0x2c	0x4957	bin_handler_subtract_variable	verified	HH	HH	subtract_variable	0,1	9	OUTE.BIN,OUTGL.BIN,OUTGR.BIN,ROOM4.BIN	ROOM4.BIN@0x052f
0x2d	0x4976	bin_handler_subtract_from_variable	verified	HH	HH	subtract_from_variable	1	18	CP2.BIN,EHAL.BIN,ROOM4.BIN	CP2.BIN@0x15d9
